Slot,Name,Minimum Turn Playable,Cost,Melee/Ranged,Type,Subtype,Effectiveness,Rules,Flavor,Attack Power,Health,Image,Artist,Notes
CIV.t0,Savings,0,0,,Effect,<u>Response</u> <u>Transient</u> Resource,0.0,<u>Response</u> (You may deploy ~ during response windows.)٫ <u>Transient</u> (If ~ would enter your discard pile٫ instead remove it from the game.)\nAdd one energy of any type a generator you control could produce to your energy bank.,,,,,,
CIV.CMDR,P.O.T.U.S,1,1,Melee,Commander,Human Civilian Leader,,(Becomes <i>'Executive Execution'</i> if you already control ~.)\n<u>Advantageous</u> (When ~ resolves٫ draw a card.)\n<b><i>As Commander</i> --</b> Your maximum hand size is increased by 1. On your first turn٫ if you go second٫ create a `Savings` in your hand.\n<b><i>As Asset</i> --</b> If ~ is in your opening hand٫ you may reveal it. If you do٫ you go first (If both players reveal ~٫ the player who was to go first previously goes first as normal.),,1.0,1.0,,,
CIV.CMDRb,Executive Execution,7,7,,R. Effect,<u>Personal</u>,0.0,<u>Unfundable</u> (Banked energy can't be spent to deploy ~. Instead you must utilize generators as part of its cost.)\nKill a combatant of your choice.\n<u>Personal</u> (Shuffle `P.O.T.U.S` back into your deck.),,,,,,
CIV.G1,ATM,4,8,,Asset,Bank,,On each of your turns you may hire an additional `Savings` card in your hand as a generator (in addition to your once per turn generator)٫ it may be utilized and <u>Forfeit</u> (Put the specified generator into your discard pile.) to add one energy of any type a generator you control could produce.,,,,,,
CIV.N1,Office Worker,2,1NN,Melee,Asset,Human Civilian Secretary,1.0,,,2.0,2.0,,,
CIV.U1,Street Thug,2,1UU,Melee,Asset,Human Criminal,1.0,,,3.0,1.0,,,
CIV.M1,School Boy,2,1MM,Melee,Asset,Human Male Child Student,1.0,,,3.0,1.0,,,
CIV.V1,School Girl,2,1VV,Melee,Asset,Human Female Child Student,1.0,,,2.0,2.0,,,
CIV.O1,Patrol Cop,2,1OO,Ranged,Asset,Augmented Human Police,1.0,,,1.0,3.0,,,
CIV.I1,Petty Informant,1,1I,Melee,Asset,Human Civilian,1.0,,,1.0,1.0,,,
